INSERT INTO Users(username, userPassword, firstName, lastName, imagePath, DoB, email, profileBio) VALUES ('Albert19', 'SAlbert344$','Albert', 'Salcido', 'https://firebasestorage.googleapis.com/v0/b/gymapp-470.appspot.com/o/ronnie?alt=media&token=a90347c4-0489-4879-b629-688935624fff', '2015-02-21', 'alberts295@gmail.com','My name is Albert, I am 155lbs at 6 foot 7 and I love Gym Notebook!');
INSERT INTO Users(username, userPassword, firstName, lastName, imagePath, DoB, email, profileBio) VALUES ('tyler348', 'LTyler44!','Tyler', 'Littrell', 'https://firebasestorage.googleapis.com/v0/b/gymapp-470.appspot.com/o/anush?alt=media&token=e551fed7-b497-46ae-8289-39117e5096ff', '2013-08-20', 'tylerl237@gmail.com','My name is Tyler, I weigh 197lbs at 5 foot 2 and I love Gym Notebook!');
INSERT INTO Users(username, userPassword, firstName, lastName, imagePath, DoB, email, profileBio) VALUES ('Olive129', 'MOlive608&','Olive', 'Mince', 'https://firebasestorage.googleapis.com/v0/b/gymapp-470.appspot.com/o/ronnie?alt=media&token=a90347c4-0489-4879-b629-688935624fff', '2018-03-31', 'olivem412@gmail.com','My name is Olive, I am 164lbs at 5 foot 8 and I love Gym Notebook!');
INSERT INTO Users(username, userPassword, firstName, lastName, imagePath, DoB, email, profileBio) VALUES ('juan31', 'MJuan496&','Juan', 'Moritz', 'https://firebasestorage.googleapis.com/v0/b/gymapp-470.appspot.com/o/anush?alt=media&token=e551fed7-b497-46ae-8289-39117e5096ff', '2014-11-08', 'juanm318@gmail.com','My name is Juan, I weigh 125lbs at 5 foot 11 and I love Gym Notebook!');
INSERT INTO Users(username, userPassword, firstName, lastName, imagePath, DoB, email, profileBio) VALUES ('Edward618', 'OEdward227#','Edward', 'Ohare', 'https://firebasestorage.googleapis.com/v0/b/gymapp-470.appspot.com/o/ronnie?alt=media&token=a90347c4-0489-4879-b629-688935624fff', '2020-05-13', 'edwardo444@gmail.com','My name is Edward, I am 214lbs at 5 foot 4 and I love Gym Notebook!');
INSERT INTO Users(username, userPassword, firstName, lastName, imagePath, DoB, email, profileBio) VALUES ('lauren806', 'HLauren352&','Lauren', 'Halseth', 'https://firebasestorage.googleapis.com/v0/b/gymapp-470.appspot.com/o/anush?alt=media&token=e551fed7-b497-46ae-8289-39117e5096ff', '2012-09-11', 'laurenh511@gmail.com','My name is Lauren, I weigh 233lbs at 5 foot 11 and I love Gym Notebook!');
INSERT INTO Users(username, userPassword, firstName, lastName, imagePath, DoB, email, profileBio) VALUES ('Philip285', 'RPhilip299@','Philip', 'Rasset', 'https://firebasestorage.googleapis.com/v0/b/gymapp-470.appspot.com/o/ronnie?alt=media&token=a90347c4-0489-4879-b629-688935624fff', '2018-05-24', 'philipr318@gmail.com','My name is Philip, I am 165lbs at 5 foot 9 and I love Gym Notebook!');
INSERT INTO Users(username, userPassword, firstName, lastName, imagePath, DoB, email, profileBio) VALUES ('linda508', 'HLinda348!','Linda', 'Hong', 'https://firebasestorage.googleapis.com/v0/b/gymapp-470.appspot.com/o/anush?alt=media&token=e551fed7-b497-46ae-8289-39117e5096ff', '2016-02-09', 'lindah176@gmail.com','My name is Linda, I weigh 241lbs at 5 foot 9 and I love Gym Notebook!');
INSERT INTO Users(username, userPassword, firstName, lastName, imagePath, DoB, email, profileBio) VALUES ('Robert825', 'DRobert954&','Robert', 'Dickey', 'https://firebasestorage.googleapis.com/v0/b/gymapp-470.appspot.com/o/ronnie?alt=media&token=a90347c4-0489-4879-b629-688935624fff', '2020-04-04', 'robertd426@gmail.com','My name is Robert, I am 213lbs at 5 foot 3 and I love Gym Notebook!');
INSERT INTO Users(username, userPassword, firstName, lastName, imagePath, DoB, email, profileBio) VALUES ('richard264', 'CRichard977@','Richard', 'Conyer', 'https://firebasestorage.googleapis.com/v0/b/gymapp-470.appspot.com/o/anush?alt=media&token=e551fed7-b497-46ae-8289-39117e5096ff', '2017-03-26', 'richardc23@gmail.com','My name is Richard, I weigh 269lbs at 5 foot 3 and I love Gym Notebook!');
INSERT INTO Users(username, userPassword, firstName, lastName, imagePath, DoB, email, profileBio) VALUES ('John395', 'SJohn716&','John', 'Sandigo', 'https://firebasestorage.googleapis.com/v0/b/gymapp-470.appspot.com/o/ronnie?alt=media&token=a90347c4-0489-4879-b629-688935624fff', '2018-12-19', 'johns239@gmail.com','My name is John, I am 140lbs at 6 foot 5 and I love Gym Notebook!');
INSERT INTO Users(username, userPassword, firstName, lastName, imagePath, DoB, email, profileBio) VALUES ('steven135', 'WSteven107&','Steven', 'Washington', 'https://firebasestorage.googleapis.com/v0/b/gymapp-470.appspot.com/o/anush?alt=media&token=e551fed7-b497-46ae-8289-39117e5096ff', '2020-07-31', 'stevenw200@gmail.com','My name is Steven, I weigh 262lbs at 5 foot 5 and I love Gym Notebook!');
INSERT INTO Users(username, userPassword, firstName, lastName, imagePath, DoB, email, profileBio) VALUES ('William98', 'MWilliam294@','William', 'Messer', 'https://firebasestorage.googleapis.com/v0/b/gymapp-470.appspot.com/o/ronnie?alt=media&token=a90347c4-0489-4879-b629-688935624fff', '2012-07-27', 'williamm353@gmail.com','My name is William, I am 166lbs at 5 foot 9 and I love Gym Notebook!');
INSERT INTO Users(username, userPassword, firstName, lastName, imagePath, DoB, email, profileBio) VALUES ('james371', 'WJames498#','James', 'Wagner', 'https://firebasestorage.googleapis.com/v0/b/gymapp-470.appspot.com/o/anush?alt=media&token=e551fed7-b497-46ae-8289-39117e5096ff', '2020-07-06', 'jamesw551@gmail.com','My name is James, I weigh 177lbs at 5 foot 2 and I love Gym Notebook!');
INSERT INTO Users(username, userPassword, firstName, lastName, imagePath, DoB, email, profileBio) VALUES ('Joseph97', 'MJoseph566!','Joseph', 'Moody', 'https://firebasestorage.googleapis.com/v0/b/gymapp-470.appspot.com/o/ronnie?alt=media&token=a90347c4-0489-4879-b629-688935624fff', '2017-05-10', 'josephm138@gmail.com','My name is Joseph, I am 189lbs at 5 foot 11 and I love Gym Notebook!');
INSERT INTO Users(username, userPassword, firstName, lastName, imagePath, DoB, email, profileBio) VALUES ('marie916', 'BMarie830!','Marie', 'Burchfield', 'https://firebasestorage.googleapis.com/v0/b/gymapp-470.appspot.com/o/anush?alt=media&token=e551fed7-b497-46ae-8289-39117e5096ff', '2020-01-31', 'marieb528@gmail.com','My name is Marie, I weigh 146lbs at 5 foot 6 and I love Gym Notebook!');
INSERT INTO Users(username, userPassword, firstName, lastName, imagePath, DoB, email, profileBio) VALUES ('Michelle975', 'BMichelle131#','Michelle', 'Bouchard', 'https://firebasestorage.googleapis.com/v0/b/gymapp-470.appspot.com/o/ronnie?alt=media&token=a90347c4-0489-4879-b629-688935624fff', '2014-01-17', 'michelleb488@gmail.com','My name is Michelle, I am 210lbs at 5 foot 4 and I love Gym Notebook!');
