INSERT INTO Users(username, userPassword, firstName, lastName, imagePath, DoB, email, profileBio) VALUES ('Kimberly808', 'CKimberly337!','Kimberly', 'Caldwell', 'https://firebasestorage.googleapis.com/v0/b/gymapp-470.appspot.com/o/ronnie?alt=media&token=a90347c4-0489-4879-b629-688935624fff', '2013-06-18', 'kimberlyc232@gmail.com','My name is Kimberly, I am 227lbs at 6 foot 6 and I love Gym Notebook!');
INSERT INTO Users(username, userPassword, firstName, lastName, imagePath, DoB, email, profileBio) VALUES ('martha925', 'AMartha816@','Martha', 'Allen', 'https://firebasestorage.googleapis.com/v0/b/gymapp-470.appspot.com/o/ronnie?alt=media&token=a90347c4-0489-4879-b629-688935624fff', '2021-07-26', 'marthaa544@gmail.com','My name is Martha, I weigh 169lbs at 5 foot 11 and I love Gym Notebook!');
INSERT INTO Users(username, userPassword, firstName, lastName, imagePath, DoB, email, profileBio) VALUES ('Jason452', 'MJason63&','Jason', 'Mcclain', 'https://firebasestorage.googleapis.com/v0/b/gymapp-470.appspot.com/o/ronnie?alt=media&token=a90347c4-0489-4879-b629-688935624fff', '2021-07-15', 'jasonm437@gmail.com','My name is Jason, I am 189lbs at 5 foot 6 and I love Gym Notebook!');
INSERT INTO Users(username, userPassword, firstName, lastName, imagePath, DoB, email, profileBio) VALUES ('ashley89', 'JAshley184!','Ashley', 'Jackson', 'https://firebasestorage.googleapis.com/v0/b/gymapp-470.appspot.com/o/ronnie?alt=media&token=a90347c4-0489-4879-b629-688935624fff', '2013-03-02', 'ashleyj247@gmail.com','My name is Ashley, I weigh 157lbs at 5 foot 8 and I love Gym Notebook!');
INSERT INTO Users(username, userPassword, firstName, lastName, imagePath, DoB, email, profileBio) VALUES ('Gloria178', 'MGloria475#','Gloria', 'Mcvey', 'https://firebasestorage.googleapis.com/v0/b/gymapp-470.appspot.com/o/ronnie?alt=media&token=a90347c4-0489-4879-b629-688935624fff', '2020-04-17', 'gloriam300@gmail.com','My name is Gloria, I am 117lbs at 5 foot 11 and I love Gym Notebook!');
INSERT INTO Users(username, userPassword, firstName, lastName, imagePath, DoB, email, profileBio) VALUES ('loretta360', 'ALoretta652!','Loretta', 'Adams', 'https://firebasestorage.googleapis.com/v0/b/gymapp-470.appspot.com/o/ronnie?alt=media&token=a90347c4-0489-4879-b629-688935624fff', '2013-01-18', 'lorettaa473@gmail.com','My name is Loretta, I weigh 172lbs at 5 foot 5 and I love Gym Notebook!');
INSERT INTO Users(username, userPassword, firstName, lastName, imagePath, DoB, email, profileBio) VALUES ('Roberto768', 'LRoberto740#','Roberto', 'Lenior', 'https://firebasestorage.googleapis.com/v0/b/gymapp-470.appspot.com/o/ronnie?alt=media&token=a90347c4-0489-4879-b629-688935624fff', '2016-03-27', 'robertol223@gmail.com','My name is Roberto, I am 227lbs at 5 foot 5 and I love Gym Notebook!');
INSERT INTO Users(username, userPassword, firstName, lastName, imagePath, DoB, email, profileBio) VALUES ('kathryn709', 'IKathryn932!','Kathryn', 'Irwin', 'https://firebasestorage.googleapis.com/v0/b/gymapp-470.appspot.com/o/ronnie?alt=media&token=a90347c4-0489-4879-b629-688935624fff', '2015-09-20', 'kathryni94@gmail.com','My name is Kathryn, I weigh 218lbs at 5 foot 8 and I love Gym Notebook!');
INSERT INTO Users(username, userPassword, firstName, lastName, imagePath, DoB, email, profileBio) VALUES ('Michael817', 'WMichael491!','Michael', 'Washington', 'https://firebasestorage.googleapis.com/v0/b/gymapp-470.appspot.com/o/ronnie?alt=media&token=a90347c4-0489-4879-b629-688935624fff', '2013-01-17', 'michaelw34@gmail.com','My name is Michael, I am 193lbs at 5 foot 7 and I love Gym Notebook!');
INSERT INTO Users(username, userPassword, firstName, lastName, imagePath, DoB, email, profileBio) VALUES ('lynn160', 'GLynn181!','Lynn', 'Garrett', 'https://firebasestorage.googleapis.com/v0/b/gymapp-470.appspot.com/o/ronnie?alt=media&token=a90347c4-0489-4879-b629-688935624fff', '2012-05-25', 'lynng479@gmail.com','My name is Lynn, I weigh 264lbs at 5 foot 7 and I love Gym Notebook!');
INSERT INTO Users(username, userPassword, firstName, lastName, imagePath, DoB, email, profileBio) VALUES ('Alex39', 'PAlex900!','Alex', 'Price', 'https://firebasestorage.googleapis.com/v0/b/gymapp-470.appspot.com/o/ronnie?alt=media&token=a90347c4-0489-4879-b629-688935624fff', '2012-01-16', 'alexp44@gmail.com','My name is Alex, I am 220lbs at 6 foot 7 and I love Gym Notebook!');
INSERT INTO Users(username, userPassword, firstName, lastName, imagePath, DoB, email, profileBio) VALUES ('angela805', 'SAngela455@','Angela', 'Scanlon', 'https://firebasestorage.googleapis.com/v0/b/gymapp-470.appspot.com/o/ronnie?alt=media&token=a90347c4-0489-4879-b629-688935624fff', '2016-12-16', 'angelas180@gmail.com','My name is Angela, I weigh 199lbs at 5 foot 9 and I love Gym Notebook!');
INSERT INTO Users(username, userPassword, firstName, lastName, imagePath, DoB, email, profileBio) VALUES ('Andrew164', 'BAndrew321$','Andrew', 'Buchanan', 'https://firebasestorage.googleapis.com/v0/b/gymapp-470.appspot.com/o/ronnie?alt=media&token=a90347c4-0489-4879-b629-688935624fff', '2013-11-28', 'andrewb209@gmail.com','My name is Andrew, I am 194lbs at 5 foot 2 and I love Gym Notebook!');
INSERT INTO Users(username, userPassword, firstName, lastName, imagePath, DoB, email, profileBio) VALUES ('francesca520', 'BFrancesca743@','Francesca', 'Bessey', 'https://firebasestorage.googleapis.com/v0/b/gymapp-470.appspot.com/o/ronnie?alt=media&token=a90347c4-0489-4879-b629-688935624fff', '2017-01-01', 'francescab309@gmail.com','My name is Francesca, I weigh 219lbs at 5 foot 8 and I love Gym Notebook!');
INSERT INTO Users(username, userPassword, firstName, lastName, imagePath, DoB, email, profileBio) VALUES ('Robert982', 'MRobert167&','Robert', 'Madson', 'https://firebasestorage.googleapis.com/v0/b/gymapp-470.appspot.com/o/ronnie?alt=media&token=a90347c4-0489-4879-b629-688935624fff', '2017-02-05', 'robertm286@gmail.com','My name is Robert, I am 128lbs at 5 foot 7 and I love Gym Notebook!');
INSERT INTO Users(username, userPassword, firstName, lastName, imagePath, DoB, email, profileBio) VALUES ('elizabeth542', 'AElizabeth900!','Elizabeth', 'Adamson', 'https://firebasestorage.googleapis.com/v0/b/gymapp-470.appspot.com/o/ronnie?alt=media&token=a90347c4-0489-4879-b629-688935624fff', '2013-11-11', 'elizabetha373@gmail.com','My name is Elizabeth, I weigh 172lbs at 5 foot 6 and I love Gym Notebook!');
INSERT INTO Users(username, userPassword, firstName, lastName, imagePath, DoB, email, profileBio) VALUES ('Billy953', 'KBilly51&','Billy', 'Knight', 'https://firebasestorage.googleapis.com/v0/b/gymapp-470.appspot.com/o/ronnie?alt=media&token=a90347c4-0489-4879-b629-688935624fff', '2014-02-25', 'billyk421@gmail.com','My name is Billy, I am 175lbs at 5 foot 5 and I love Gym Notebook!');
INSERT INTO Users(username, userPassword, firstName, lastName, imagePath, DoB, email, profileBio) VALUES ('todd904', 'HTodd56$','Todd', 'Haley', 'https://firebasestorage.googleapis.com/v0/b/gymapp-470.appspot.com/o/ronnie?alt=media&token=a90347c4-0489-4879-b629-688935624fff', '2013-09-07', 'toddh103@gmail.com','My name is Todd, I weigh 249lbs at 5 foot 9 and I love Gym Notebook!');
